link,downloaded,file_name
https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-pdf/IDETC-CIE2022/86212/V002T02A035/6942906/v002t02a035-detc2022-91129.pdf,True,pdf_new/v002t02a035-detc2022-91129.pdf
http://openrepository.aut.ac.nz/bitstream/handle/10292/1713/5666.pdf?sequence=2&isAllowed=y,True,pdf_new/5666.pdf?sequence=2&isAllowed=y
https://www.academia.edu/download/47589286/Thermal_stability_of_biodiesel_and_its_b20160728-22108-cjvpvp.pdf,True,pdf_new/Thermal_stability_of_biodiesel_and_its_b20160728-22108-cjvpvp.pdf
http://dspace.univ-temouchent.edu.dz:8080/jspui/bitstream/123456789/1461/1/Synthesis%20and%20Characterization%20of%20Biodegradable%20Poly%28%20ethylene%20succinate%29.pdf,True,pdf_new/Synthesis%20and%20Characterization%20of%20Biodegradable%20Poly%28%20ethylene%20succinate%29.pdf
https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adhm.201801469,True,pdf_new/adhm.201801469
https://iccm-central.org/Proceedings/ICCM18proceedings/data/2.%20Oral%20Presentation/Aug23(Tuesday)/T03%20Composite%20Materials%20from%20Biorenewable%20Resources/T3-6-AF1961.pdf,True,pdf_new/T3-6-AF1961.pdf
https://www.mdpi.com/1424-8220/22/17/6654/pdf,True,pdf_new/pdf
https://onlinelibrary.wiley.com/doi/pdf/10.1002/idm2.12049,True,pdf_new/idm2.12049
https://www.fei.stuba.sk/buxus/docs/Obhaj._DP/Karas_autoreferat.pdf,True,pdf_new/Karas_autoreferat.pdf
https://www.mdpi.com/2073-4360/12/11/2612/pdf,True,pdf_new/pdf
https://www.mdpi.com/2073-4360/11/7/1088/pdf,True,pdf_new/pdf
https://www.researchgate.net/profile/Tongchuan-Zhang/publication/336746974_All-Atom_Knowledge-Based_Potential_for_RNA_Structure_Discrimination_Based_on_the_Distance-Scaled_Finite_Ideal-Gas_Reference_State/links/5ddd354f4585159aa44a34da/All-Atom-Knowledge-Based-Potential-for-RNA-Structure-Discrimination-Based-on-the-Distance-Scaled-Finite-Ideal-Gas-Reference-State.pdf,True,pdf_new/All-Atom-Knowledge-Based-Potential-for-RNA-Structure-Discrimination-Based-on-the-Distance-Scaled-Finite-Ideal-Gas-Reference-State.pdf
"http://phome.postech.ac.kr/user/pnel/publication/88.%20M.-R.%20Choi%20et%20al.,%20ChemSusChem,%204,%20363-368%20(2011).pdf",False,
http://ee.hnu.edu.cn/__local/F/71/86/503F23868436EE623B435501347_6F223AB0_261F7E.pdf,True,pdf_new/503F23868436EE623B435501347_6F223AB0_261F7E.pdf
https://www.sciencedirect.com/science/article/am/pii/S0196890421009948,True,pdf_new/S0196890421009948
https://pubs.acs.org/doi/pdf/10.1021/ar9001747,True,pdf_new/ar9001747
http://www.fsrj.org/act/7_nenkai/14-6-ISFR/Proceeding-IFSR2011/1-1.pdf,True,pdf_new/1-1.pdf
https://pure.udem.edu.mx/files/15734522/11_Ciprian_Ciofu.pdf,True,pdf_new/11_Ciprian_Ciofu.pdf
https://ueaeprints.uea.ac.uk/id/eprint/62944/1/Accepted_manuscript.pdf,True,pdf_new/Accepted_manuscript.pdf
https://pubs.acs.org/doi/pdf/10.1021/acs.jpca.1c01956,True,pdf_new/acs.jpca.1c01956
https://www.academia.edu/download/54720328/4IJMTST031005.pdf,True,pdf_new/4IJMTST031005.pdf
https://www.cambridge.org/core/services/aop-cambridge-core/content/view/FE9973C789C8153CCE03BCB0965089E9/S2633776220000047a.pdf/datadriven_design_in_concept_development_systematic_review_and_missed_opportunities.pdf,True,pdf_new/datadriven_design_in_concept_development_systematic_review_and_missed_opportunities.pdf
https://www.academia.edu/download/99403055/biocomposites_938_942_.pdf,True,pdf_new/biocomposites_938_942_.pdf
https://onlinelibrary.wiley.com/doi/pdf/10.1002/eem2.12551,True,pdf_new/eem2.12551
https://www.researchgate.net/profile/Preethi-Ramadoss/publication/337564907_Low-cost_and_biodegradable_cellulosePVPactivated_carbon_composite_membrane_for_brackish_water_treatment/links/5e8b6d44a6fdcca789fbcf57/Low-cost-and-biodegradable-cellulose-PVP-activated-carbon-composite-membrane-for-brackish-water-treatment.pdf,True,pdf_new/Low-cost-and-biodegradable-cellulose-PVP-activated-carbon-composite-membrane-for-brackish-water-treatment.pdf
https://arxiv.org/pdf/2112.03102,True,pdf_new/2112.03102
https://arxiv.org/pdf/2106.01592,True,pdf_new/2106.01592
https://www.mdpi.com/2073-4360/12/12/2974/pdf,True,pdf_new/pdf
https://re.public.polimi.it/bitstream/11311/1184882/1/JMBBM-D-20-01540_R1%20estratto.pdf,True,pdf_new/JMBBM-D-20-01540_R1%20estratto.pdf
https://www.researchgate.net/profile/Cristina-Gutierrezmunoz/publication/295094090_Polystyrene_foams_from_polymer_dissolutions/links/5b7e660d299bf1d5a71e5e09/Polystyrene-foams-from-polymer-dissolutions.pdf,True,pdf_new/Polystyrene-foams-from-polymer-dissolutions.pdf
https://onlinelibrary.wiley.com/doi/pdf/10.1111/gcb.15975,True,pdf_new/gcb.15975
https://ajbs.scione.com/newfiles/ajbs.scione.com/719/719-AJBS.pdf,True,pdf_new/719-AJBS.pdf
https://www.researchgate.net/profile/Dr-Chaitanya-Pande/publication/355442672_Applications_of_various_data-driven_models_for_the_prediction_of_groundwater_quality_index_in_the_Akot_basin_Maharashtra_India/links/6170ddc2766c4a211c030b0a/Applications-of-various-data-driven-models-for-the-prediction-of-groundwater-quality-index-in-the-Akot-basin-Maharashtra-India.pdf,True,pdf_new/Applications-of-various-data-driven-models-for-the-prediction-of-groundwater-quality-index-in-the-Akot-basin-Maharashtra-India.pdf
https://deepblue.lib.umich.edu/bitstream/handle/2027.42/175688/ansinghl_1.pdf?sequence=1,True,pdf_new/ansinghl_1.pdf?sequence=1
https://onlinelibrary.wiley.com/doi/pdf/10.1002/aenm.202202407,True,pdf_new/aenm.202202407
https://m3ai.wlu.ca/research/publications/EJ-258.pdf,True,pdf_new/EJ-258.pdf
https://www.researchgate.net/profile/Md-Mahmud-51/publication/365443987_A_Brief_Review_on_Applications_of_Lignin/links/637571ff54eb5f547cdbe18c/A-Brief-Review-on-Applications-of-Lignin.pdf,True,pdf_new/A-Brief-Review-on-Applications-of-Lignin.pdf
https://pnrjournal.com/index.php/home/article/download/9462/13077,True,pdf_new/13077
https://repository.unair.ac.id/125438/1/C-12_artikel.pdf,True,pdf_new/C-12_artikel.pdf
https://arxiv.org/pdf/2001.11337,True,pdf_new/2001.11337
http://nopr.niscpr.res.in/bitstream/123456789/33495/1/SR%2052(12)%2026-27.pdf,False,
https://ieeexplore.ieee.org/iel7/6287639/8948470/09154669.pdf,True,pdf_new/09154669.pdf
https://ejsei.com/EJSE/article/download/161/160,True,pdf_new/160
https://pubs.rsc.org/en/content/getauthorversionpdf/d0py01050b,False,
https://www.osti.gov/servlets/purl/1596671,True,pdf_new/1596671
https://arxiv.org/pdf/2108.08131,True,pdf_new/2108.08131
https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/63b23bbd16e9a864303c5bf0/original/machine-learning-descriptors-in-materials-chemistry-prediction-and-experimental-validation-synthesis-of-novel-intermetallic-u-cd3.pdf,True,pdf_new/machine-learning-descriptors-in-materials-chemistry-prediction-and-experimental-validation-synthesis-of-novel-intermetallic-u-cd3.pdf
https://oaktrust.library.tamu.edu/bitstream/handle/1969.1/192778/KIRK-DISSERTATION-2020.pdf?sequence=1,True,pdf_new/KIRK-DISSERTATION-2020.pdf?sequence=1
https://www.sciencedirect.com/science/article/am/pii/S0141391018300260,True,pdf_new/S0141391018300260
https://researchspace.auckland.ac.nz/bitstream/handle/2292/54788/Wanigasekara-2020-thesis.pdf?sequence=1,True,pdf_new/Wanigasekara-2020-thesis.pdf?sequence=1
https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=597c4e827b1a6beda33a8ac8a21423ad410ee30d,True,pdf_new/document?repid=rep1&type=pdf&doi=597c4e827b1a6beda33a8ac8a21423ad410ee30d
